item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Low Fat,NCI29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0327,8.60,141.22,4.0
Low Fat,NCB54,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0501,8.76,128.33,4.0
Low Fat,NCO29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0323,11.15,166.35,4.0
Low Fat,NCQ05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0216,11.40,150.17,4.0
Low Fat,NCV29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0229,11.80,176.07,4.0
Low Fat,NCR53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1453,12.15,224.04,4.0
Low Fat,NCN29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,15.20,47.80,4.0
Low Fat,NCO53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,16.20,182.16,4.0
Low Fat,NCM41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0357,16.50,93.61,4.0
Low Fat,NCC54,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0979,17.75,239.32,4.0
Low Fat,NCW41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,18.00,158.06,4.0
Low Fat,NCY17,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1633,18.20,45.11,4.0
Low Fat,NCW53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0305,18.35,193.12,4.0
Low Fat,NCJ05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0462,18.70,152.37,4.0
Low Fat,NCW05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1483,20.25,108.39,4.0
Low Fat,NCA05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0252,20.75,150.47,4.0
Low Fat,NCT42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0249,5.88,149.94,4.0
Low Fat,NCS30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0932,5.95,127.37,4.0
Low Fat,NCF06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0202,6.24,260.90,4.0
Low Fat,NCO26,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0770,7.24,116.65,4.0
Low Fat,NCM06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0758,7.48,156.07,4.0
Low Fat,NCW54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,7.50,59.26,4.0
Low Fat,NCS42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0695,8.60,91.81,4.0
Low Fat,NCU54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0988,8.88,208.93,4.0
Low Fat,NCT30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0804,9.10,48.87,4.0
Low Fat,NCK18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0067,9.60,164.62,4.0
Low Fat,NCK54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0296,12.15,115.02,4.0
Low Fat,NCR06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0068,12.50,42.91,4.0
Low Fat,NCS18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0423,12.65,108.49,4.0
Low Fat,NCD06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0995,13.00,44.91,4.0
Low Fat,NCQ06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0419,13.00,255.90,4.0
Low Fat,NCH07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0928,13.15,159.76,4.0
Low Fat,NCD55,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0244,14.00,40.25,4.0
Low Fat,NCZ54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0835,14.65,161.36,4.0
Low Fat,NCI54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0337,15.20,108.99,4.0
Low Fat,NCE30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0993,16.00,214.09,4.0
Low Fat,NCH55,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0347,16.35,125.60,4.0
Low Fat,NCH30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0673,17.10,115.19,4.0
Low Fat,NCL30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0490,18.10,128.73,4.0
Low Fat,NCI55,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0127,18.60,121.54,4.0
Low Fat,NCI42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0104,18.75,207.90,4.0
Low Fat,NCQ50,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0344,18.75,215.72,4.0
Low Fat,NCC06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0270,19.00,127.03,4.0
Low Fat,NCZ06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0943,19.60,251.87,4.0
Low Fat,NCR50,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0118,20.20,155.13,4.0
Low Fat,NCP30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0328,20.50,38.98,4.0
Low Fat,NCR30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0711,20.60,75.47,4.0
Low Fat,FDA39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0127,6.32,38.58,4.0
Low Fat,FDK27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0090,11.00,119.18,4.0
Low Fat,FDG31,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0380,12.15,62.88,4.0
Low Fat,FDY51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0813,12.50,221.78,4.0
Low Fat,FDQ39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0812,14.80,190.58,4.0
Low Fat,NCM07,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0400,9.40,85.59,4.0
Low Fat,NCQ43,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1115,17.75,108.09,4.0
Low Fat,NCJ31,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1829,19.20,243.02,4.0
Low Fat,FDH09,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0562,12.60,51.90,4.0
Low Fat,FDD46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1415,6.04,155.10,4.0
Low Fat,FDX21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0851,7.05,108.29,4.0
Low Fat,FDQ57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0280,7.28,145.98,4.0
Low Fat,FDT58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0861,9.00,168.78,4.0
Low Fat,FDY58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0400,11.65,227.37,4.0
Low Fat,FDH58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0370,12.30,115.98,4.0
Low Fat,FDQ33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0913,13.35,150.37,4.0
Low Fat,FDA21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0360,13.65,186.39,4.0
Low Fat,FDJ09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0585,15.00,44.77,4.0
Low Fat,FDT57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0191,15.20,238.22,4.0
Low Fat,FDX45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1050,16.75,155.26,4.0
Low Fat,FDL22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0364,16.85,90.35,4.0
Low Fat,FDR10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0101,17.60,163.76,4.0
Low Fat,FDY10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0491,17.60,112.72,4.0
Low Fat,FDZ09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1050,17.60,163.89,4.0
Low Fat,FDZ58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0523,17.85,121.81,4.0
Low Fat,FDW45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0391,18.00,145.34,4.0
Low Fat,FDV46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0126,18.20,140.82,4.0
Low Fat,FDN57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0543,18.25,140.92,4.0
Low Fat,FDR09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0778,18.25,260.60,4.0
Low Fat,FDN21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0770,18.60,161.82,4.0
Low Fat,FDP09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0339,19.75,213.59,4.0
Low Fat,FDV58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1214,20.85,196.15,4.0
Low Fat,FDH10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0494,21.00,193.05,4.0
Low Fat,DRG48,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0146,5.78,147.21,4.0
Low Fat,DRD25,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0791,6.14,114.39,4.0
Low Fat,DRE13,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0277,6.28,86.52,4.0
Low Fat,DRB24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0206,8.79,155.17,4.0
Low Fat,DRN37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,9.60,166.52,4.0
Low Fat,DRJ24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1135,11.80,186.89,4.0
Low Fat,DRK13,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1153,11.80,200.21,4.0
Low Fat,DRF13,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0298,12.10,144.34,4.0
Low Fat,DRH37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0417,17.60,164.25,4.0
Low Fat,DRC12,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0379,17.85,190.42,4.0
Low Fat,DRI25,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0340,19.60,56.46,4.0
Low Fat,DRE49,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0213,20.75,153.50,4.0
Low Fat,FDA34,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0149,11.50,174.51,4.0
Low Fat,FDI35,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0414,14.00,182.06,4.0
Regular,FDE36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0418,5.26,161.89,4.0
Regular,FDZ59,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1042,6.63,166.15,4.0
Regular,FDY11,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0296,6.71,65.41,4.0
Regular,FDQ36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1618,7.86,37.28,4.0
Regular,FDS36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0470,8.38,111.86,4.0
Regular,FDP12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0453,9.80,36.89,4.0
Regular,FDM60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0482,10.80,42.21,4.0
Regular,FDM36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0588,11.65,173.54,4.0
Regular,FDL48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0824,19.35,48.50,4.0
Regular,FDX47,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0347,6.55,155.83,4.0
Regular,FDY47,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,8.60,131.53,4.0
Regular,FDO49,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0331,10.60,48.90,4.0
Regular,FDN49,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1254,17.25,40.05,4.0
Regular,FDQ25,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0283,8.63,172.54,4.0
Regular,FDG38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0528,8.98,86.62,4.0
Regular,FDL50,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0424,12.15,125.40,4.0
Regular,FDI38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0146,13.35,207.36,4.0
Regular,FDC14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0413,14.50,42.05,4.0
Regular,FDU50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0753,5.75,115.32,4.0
Regular,FDJ15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0234,11.35,184.46,4.0
Regular,FDC16,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0206,11.50,86.05,4.0
Regular,FDQ26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,13.50,57.86,4.0
Regular,FDY38,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1194,13.60,231.63,4.0
Regular,FDC40,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0652,16.00,79.40,4.0
Regular,FDB40,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0076,17.50,145.81,4.0
Regular,FDD52,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1836,18.25,110.86,4.0
Regular,FDA27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0310,20.35,253.97,4.0
Regular,FDR16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1052,5.85,214.42,4.0
Regular,FDG17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0359,6.87,244.45,4.0
Regular,FDR40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0080,9.10,78.76,4.0
Regular,FDT52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0475,9.70,244.61,4.0
Regular,FDT16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0487,9.90,262.13,4.0
Regular,FDG05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,11.00,155.26,4.0
Regular,FDP28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0808,13.65,262.89,4.0
Regular,FDH17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0167,16.20,96.37,4.0
Regular,FDV52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1217,20.70,119.75,4.0
Regular,FDF53,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0837,20.75,178.73,4.0
Regular,FDN56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1072,5.46,144.88,4.0
Regular,FDF44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0598,7.17,130.40,4.0
Regular,FDH56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0639,9.80,117.15,4.0
Regular,FDD21,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0306,10.30,112.72,4.0
Regular,FDO20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1524,12.85,254.04,4.0
Regular,FDS19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0643,13.80,77.30,4.0
Regular,FDC09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0263,15.50,104.13,4.0
Regular,FDR56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1009,15.50,199.08,4.0
Regular,FDW07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1429,18.00,89.65,4.0
Regular,FDF45,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0122,18.20,57.19,4.0
Regular,FDI08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0664,18.20,250.11,4.0
Regular,FDC08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1036,19.00,228.37,4.0
Regular,FDX07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0230,19.20,184.50,4.0
Regular,FDP08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1126,20.50,192.05,4.0
Regular,FDY39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0471,5.31,181.86,4.0
Regular,FDO39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1376,6.99,182.86,4.0
Regular,FDM51,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0260,11.80,102.27,4.0
Regular,FDH31,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0204,12.00,98.00,4.0
Regular,FDI07,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0338,12.35,198.14,4.0
Regular,FDX03,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0612,15.85,47.17,4.0
Regular,FDJ27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1221,17.70,103.37,4.0
Regular,FDU27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1717,18.60,48.84,4.0
Regular,FDN33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1233,6.31,93.54,4.0
Regular,FDH46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0413,6.94,103.13,4.0
Regular,FDG46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0330,8.63,115.05,4.0
Regular,FDX33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1177,9.20,159.56,4.0
Regular,FDS58,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0210,9.29,160.06,4.0
Regular,FDU10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0458,10.10,38.48,4.0
Regular,FDB46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0939,10.50,213.72,4.0
Regular,FDU21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0768,11.80,34.96,4.0
Regular,FDO09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1255,13.50,264.49,4.0
Regular,FDW09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0260,13.65,80.43,4.0
Regular,FDP22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0993,14.65,49.87,4.0
Regular,FDL57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0672,15.10,258.83,4.0
Regular,FDL09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1282,19.60,169.28,4.0
Regular,DRD01,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0613,12.10,53.26,4.0
Regular,DRB48,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0249,16.75,37.88,4.0
Regular,DRA24,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0400,19.35,165.09,4.0
Regular,FDE35,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0440,7.06,57.69,4.0
Regular,FDD23,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0488,9.50,186.59,4.0
Regular,FDH47,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1290,13.50,98.41,4.0
low fat,FDW11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0489,12.60,61.02,4.0
low fat,DRH59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,10.80,72.34,4.0
low fat,NCA30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1295,19.00,190.19,4.0
Regular,FDW12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0356,8.32,146.64,4.0
Regular,FDS24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0623,20.85,87.25,4.0
Regular,FDT23,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0748,7.72,78.90,4.0
Regular,FDA52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1286,16.20,175.54,4.0
Regular,FDT07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0000,5.82,256.63,4.0
Regular,FDT39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0099,6.26,149.84,4.0
Regular,FDI34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0853,10.65,229.77,4.0
Low Fat,FDS13,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1245,6.47,264.79,4.0
Low Fat,FDX25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1021,16.70,184.03,4.0
Low Fat,FDZ38,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0080,17.60,170.44,4.0
Low Fat,FDT40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0958,5.99,128.47,4.0
Low Fat,FDE29,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1431,8.91,58.89,4.0
Low Fat,FDO40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0326,17.10,148.74,4.0
Low Fat,FDD20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0207,14.15,124.20,4.0
Low Fat,FDU56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0444,16.85,182.43,4.0
Low Fat,FDG32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1760,19.85,224.08,4.0
Low Fat,NCM29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0176,11.50,131.86,4.0
Low Fat,FDC11,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1418,20.50,89.72,4.0
Low Fat,FDW23,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0820,5.77,37.52,4.0
Low Fat,FDK36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0072,7.09,47.60,4.0
Low Fat,FDF12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0824,8.24,149.31,4.0
Low Fat,FDX24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0139,8.36,94.15,4.0
Low Fat,FDK24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1013,9.20,46.27,4.0
Low Fat,FDT60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0755,12.00,121.94,4.0
Low Fat,FDA48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1149,12.10,221.41,4.0
Low Fat,FDY36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0094,12.30,73.74,4.0
Low Fat,FDN12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0811,15.60,112.35,4.0
Low Fat,FDH24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0214,20.70,157.03,4.0
Low Fat,FDU35,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0000,6.44,98.27,4.0
Low Fat,FDX59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0517,10.20,33.36,4.0
Low Fat,FDV59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0480,13.35,218.92,4.0
Low Fat,FDP11,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0691,15.85,216.62,4.0
Low Fat,FDO25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1274,6.30,210.53,4.0
Low Fat,FDT25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0508,7.50,122.21,4.0
Low Fat,FDR49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1392,8.71,49.54,4.0
Low Fat,FDC26,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1264,10.20,112.19,4.0
Low Fat,FDS01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0177,11.60,177.97,4.0
Low Fat,FDY25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0340,12.00,181.90,4.0
Low Fat,FDB51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0385,6.92,61.59,4.0
Low Fat,DRG27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1051,8.90,41.11,4.0
Low Fat,FDY14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0700,10.30,263.02,4.0
Low Fat,FDR14,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1740,11.65,52.93,4.0
Low Fat,FDI15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1414,13.80,264.19,4.0
Low Fat,DRG39,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0422,14.15,52.10,4.0
Low Fat,FDV50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1226,14.30,122.37,4.0
Low Fat,DRF51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1658,15.75,36.65,4.0
Low Fat,FDD39,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0702,16.70,218.19,4.0
Low Fat,FDS50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0554,17.00,221.11,4.0
Low Fat,DRE03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0242,19.60,48.77,4.0
Low Fat,FDX50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0746,20.10,110.32,4.0
Low Fat,DRJ39,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0363,20.25,220.15,4.0
Low Fat,FDO16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0151,5.48,83.73,4.0
Low Fat,FDN40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0000,5.88,154.30,4.0
Low Fat,FDF16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0861,7.30,148.81,4.0
Low Fat,FDK04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0523,7.36,58.56,4.0
